fpdm,fphm,kprq,je
1100162130,09707091,20170226,993078.97
1100162130,09707083,20170226,993078.97
1100162130,09707073,20170226,993078.97
1100162130,09707072,20170226,993078.97
1100162130,09707071,20170226,993078.97
1100162130,09707070,20170226,993078.97
1100162130,09707069,20170226,993078.97
1100162130,09707075,20170226,993078.97
1100162130,09707092,20170226,993078.97
1100162130,09707076,20170226,993078.97
1100162130,09707090,20170226,993078.97
1100162130,09707089,20170226,993078.97
1100162130,09707088,20170226,993078.97
1100162130,09707087,20170226,993078.97
1100162130,09707086,20170226,993078.97
1100162130,09707085,20170226,993078.97
1100162130,09707068,20170226,993078.97
1100162130,09707074,20170226,993078.97
1100162130,09707084,20170226,993078.97
1100162130,09707082,20170226,993078.97
1100162130,09707081,20170226,993078.97
1100162130,09707080,20170226,993078.97
1100162130,09707079,20170226,993078.97
1100162130,09707078,20170226,993078.97
1100162130,09707077,20170226,993078.97
