fpdm,fphm,kprq,je
1100162130,12977112,20170316,981333.33
1100162130,12977100,20170316,981333.33
1100162130,12977101,20170316,981333.33
1100162130,12977102,20170316,981333.33
1100162130,12977103,20170316,981333.33
1100162130,12977104,20170316,981333.33
1100162130,12977105,20170316,981333.33
1100162130,12977106,20170316,981333.33
1100162130,12977107,20170316,981333.33
1100162130,12977108,20170316,981333.33
1100162130,12977109,20170316,981333.33
1100162130,12977111,20170316,981333.33
1100162130,12977097,20170316,981333.33
1100154130,02893997,20170316,978188.03
1100154130,02893998,20170316,981333.33
1100154130,02893999,20170316,981333.33
1100154130,02894000,20170316,981333.33
1100154130,02894001,20170316,981333.33
1100154130,02894002,20170316,981333.33
1100154130,02894003,20170316,981333.33
1100154130,02894004,20170316,981333.33
1100154130,02894005,20170316,981333.33
1100154130,02893985,20170316,956811.95
1100162130,12977110,20170316,981333.33
1100154130,02893982,20170316,956811.95
1100162130,12977099,20170316,981333.33
1100154130,02893987,20170316,956811.95
1100162130,12977098,20170316,981333.33
1100154130,02893988,20170316,956811.95
1100154130,02893989,20170316,956811.95
1100154130,02893990,20170316,956811.95
1100154130,02893991,20170316,956811.95
1100154130,02893992,20170316,956811.95
1100154130,02893993,20170316,956811.95
1100154130,02893994,20170316,956811.95
1100154130,02893995,20170316,956811.95
1100154130,02893996,20170316,956811.95
1100162130,12977096,20170316,981333.33
1100154130,02893981,20170316,956760.94
1100154130,02893986,20170316,956811.95
1100154130,02893984,20170316,956811.95
1100154130,02893983,20170316,956811.95
